podcast_title,podcast_id,nr_of_reviews,average_rating,main_category,sentiment_bool,compound_score_mean,compound_score_min,compound_score_max,compound_score_median,unique_authors,reviews_per_author
The Leviathan Chronicles,f4285e8b5cc199d83e2407bb87716e28,491,4.39714867617108,fiction,0.8024439918533605,0.6434963340122198,-0.9099,0.9987,0.8166,491,1.0
Vote For Love,ccec3c750c1b028f6e90fa0ddb33bd95,491,4.802443991853361,fiction,0.9083503054989817,0.7699904276985743,-0.8947,0.9939,0.8832,491,1.0
Archive 81,fa0dd06c44c889d794923e37101f4a59,489,4.29038854805726,fiction,0.6114519427402862,0.49313394683026596,-0.9955,0.9943,0.7345,489,1.0
Heads of Sierra Blanca,c30927313e578b625c1a264304998a1b,489,2.208588957055215,fiction,-0.07975460122699386,-0.07485848670756647,-0.9965,0.9788,-0.0772,489,1.0
LifeAfter/The Message,f5b6a0c46d8e3e0f248a5a839d44343a,483,4.333333333333333,fiction,0.7018633540372671,0.5457517598343685,-0.9773,0.9974,0.7339,483,1.0
Wow in the World,bad6c91efdbee814db985c7a65199604,9698,4.7762425242318,education,0.7265415549597856,0.5875344400907403,-0.9999,1.0,0.7535000000000001,4905,1.9771661569826708
Know Your Aura with Mystic Michaela,e6568415fd1b0c32cbefbb4cb6dc78d2,5059,4.9835935955722475,education,0.9515714568096462,0.8256989721288793,-0.9758,0.9988,0.9101,4358,1.1608536025699863
Manifestation Babe,eb31bc4c8bf332569e5697d3166a4fec,1634,4.9222766217870255,education,0.9302325581395349,0.8106963280293757,-0.7574,0.9976,0.9105,1616,1.011138613861386
Good Night Stories for Rebel Girls,a137be8f8b4d863a2ff4490355d002ff,1540,4.71948051948052,education,0.8006493506493506,0.6417555194805195,-0.9722,0.9996,0.7964,1135,1.3568281938325992
Happier with Gretchen Rubin,a627d4945f6fcfc2c9050233cbb5369a,1399,4.751250893495354,education,0.9320943531093638,0.8019089349535384,-0.9135,0.9968,0.9078,1350,1.0362962962962963
Science Vs,c6e025d501ac8cc015870e2ddefd59f5,1197,3.5421888053467,education,0.5530492898913951,0.4482406850459483,-0.9963,0.9961,0.7003,1149,1.04177545691906
Philosophize This!,deb18c273e2ee210c39998f8575af7ae,1125,4.8453333333333335,education,0.8915555555555555,0.7115640888888889,-0.8957,0.9987,0.8349,1100,1.0227272727272727
Almost 30,f81c8201b9e4f47961987e287ac54cc0,1080,4.337962962962963,education,0.8101851851851852,0.7263292592592593,-0.9852,0.9986,0.933,1025,1.053658536585366
Something You Should Know,c692ee52722021bbda6c0628845be84b,1038,4.703275529865126,education,0.8786127167630058,0.6787937379576108,-0.9758,0.993,0.80515,987,1.0516717325227964
Duolingo Spanish Podcast,c88a64d98da7daf286f406c7c49f925b,939,4.332268370607029,education,0.7380191693290735,0.5969796592119275,-0.9632,0.9985,0.7955,909,1.033003300330033
My Favorite Murder with Karen Kilgariff and Georgia Hardstark,bc5ddad3898e0973eb541577d1df8004,10675,3.605714285714286,comedy,0.5357377049180327,0.4469651615925059,-0.9977,0.9986,0.7184,9587,1.113487013664337
Story Pirates,f2377a9b0d9a2e0fb05c3dad55759328,7389,4.735552848829341,comedy,0.5820814724590607,0.4660302341318176,-0.9991,1.0,0.6369,3252,2.272140221402214
Wine & Crime,afd327a6d5dc6c30e8db4c883f705c46,4490,4.74543429844098,comedy,0.8026726057906459,0.674972004454343,-0.9956,0.9982,0.8598,4193,1.0708323396136419
Armchair Expert with Dax Shepard,d4baff0192b5f556b0c3f2a273e98e93,4431,4.123674114195441,comedy,0.7296321372150756,0.6320299029564432,-0.9871,0.9992,0.8689,3946,1.122909275215408
Ologies with Alie Ward,e6dc31392a05c976072c9aa83b27f567,4165,4.909243697478992,comedy,0.9063625450180072,0.807374549819928,-0.9892,0.9983,0.9313,3992,1.0433366733466933
Zane and Heath: Unfiltered,f128fb4dc8ebe97bd98a31de66d19b45,4062,4.815854258985722,comedy,0.8060068931560808,0.6717048744460857,-0.964,0.9987,0.8462,3712,1.0942887931034482
